City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-04-17 07:08:49,-46.19,168.86,48.0,93,85,1.99
1,Georgetown,MY,2020-04-17 07:08:49,5.41,100.34,87.8,74,20,5.82
2,Vila Franca Do Campo,PT,2020-04-17 07:08:50,37.72,-25.43,55.4,82,20,9.17
3,Rikitea,PF,2020-04-17 07:08:50,-23.12,-134.97,76.33,75,3,9.73
4,Yellowknife,CA,2020-04-17 07:08:50,62.46,-114.35,32.0,92,100,4.0
5,Padang,ID,2020-04-17 07:06:40,-0.95,100.35,85.87,70,75,5.23
6,Sao Filipe,CV,2020-04-17 07:08:51,14.9,-24.5,70.5,78,44,16.73
7,Kaitangata,NZ,2020-04-17 07:05:33,-46.28,169.85,50.0,81,99,20.0
8,Celestun,MX,2020-04-17 07:08:51,20.87,-90.4,79.56,80,83,14.47
9,Neiafu,TO,2020-04-17 07:08:51,-18.65,-173.98,80.46,78,100,6.62
10,Upernavik,GL,2020-04-17 07:08:52,72.79,-56.15,24.96,92,100,10.96
11,Kirakira,SB,2020-04-17 07:08:52,-10.45,161.92,83.37,71,58,1.01
12,Novosheshminsk,RU,2020-04-17 07:08:52,55.07,51.23,38.53,86,100,20.94
13,Ixtapa,MX,2020-04-17 07:08:52,20.7,-105.2,74.01,37,59,4.0
14,Puerto Ayora,EC,2020-04-17 07:08:53,-0.74,-90.35,75.99,97,23,1.01
15,Yurkivka,UA,2020-04-17 07:08:53,49.01,31.1,48.81,52,94,12.64
16,Sitka,US,2020-04-17 07:08:53,57.05,-135.33,44.4,91,100,5.46
17,Komsomolskiy,UZ,2020-04-17 07:08:53,40.43,71.72,66.2,48,27,2.24
18,Makat,KZ,2020-04-17 07:08:53,47.65,53.35,55.06,42,17,22.97
19,Hobart,AU,2020-04-17 07:05:11,-42.88,147.33,53.6,46,75,19.46
20,Pitimbu,BR,2020-04-17 07:08:54,-7.47,-34.81,78.15,85,75,5.39
21,Jamestown,US,2020-04-17 07:08:54,42.1,-79.24,36.0,63,46,1.99
22,Pevek,RU,2020-04-17 07:08:55,69.7,170.31,15.76,95,99,5.55
23,Provideniya,RU,2020-04-17 07:08:55,64.38,-173.3,32.0,94,90,13.42
24,Caravelas,BR,2020-04-17 07:07:11,-17.71,-39.25,77.2,87,6,7.78
25,Butaritari,KI,2020-04-17 07:08:55,3.07,172.79,84.04,77,73,14.76
26,Hamilton,US,2020-04-17 07:08:56,39.18,-84.53,43.0,72,100,4.72
27,Punta Arenas,CL,2020-04-17 07:08:56,-53.15,-70.92,44.6,75,19,8.05
28,Los Llanos De Aridane,ES,2020-04-17 07:08:56,28.66,-17.92,64.4,72,40,4.7
29,Ribeira Grande,PT,2020-04-17 07:08:57,38.52,-28.7,58.73,80,45,7.63
30,Ajdabiya,LY,2020-04-17 07:08:57,30.76,20.23,60.78,47,3,7.85
31,Roma,US,2020-04-17 07:07:40,43.21,-75.46,32.0,89,54,8.84
32,Puerto Quijarro,BO,2020-04-17 07:08:58,-17.78,-57.77,60.26,59,2,4.52
33,Hermanus,ZA,2020-04-17 07:08:58,-34.42,19.23,60.01,94,46,1.3
34,East London,ZA,2020-04-17 07:08:58,-33.02,27.91,60.8,82,0,5.82
35,Diego De Almagro,CL,2020-04-17 07:08:58,-26.37,-70.05,55.44,37,0,1.99
36,Faanui,PF,2020-04-17 07:08:59,-16.48,-151.75,83.26,66,30,8.34
37,Raudeberg,NO,2020-04-17 07:08:59,61.99,5.14,42.01,60,75,4.7
38,Albany,US,2020-04-17 07:08:00,42.6,-73.97,32.0,88,8,7.94
39,Naica,MX,2020-04-17 07:08:59,27.85,-105.48,70.36,13,100,13.18
40,Hilo,US,2020-04-17 07:09:00,19.73,-155.09,71.01,95,17,1.99
41,Mahebourg,MU,2020-04-17 07:09:00,-20.41,57.7,80.6,69,75,18.34
42,Souillac,MU,2020-04-17 07:09:00,-20.52,57.52,80.6,69,75,18.34
43,Cape Town,ZA,2020-04-17 07:08:57,-33.93,18.42,64.99,93,20,2.24
44,Toora-Khem,RU,2020-04-17 07:09:01,52.47,96.11,51.22,30,66,9.71
45,Velyka Bilozerka,UA,2020-04-17 07:09:01,47.28,34.71,55.99,50,64,11.5
46,San Juan,AR,2020-04-17 07:09:01,-31.54,-68.54,67.53,38,1,6.15
47,Warrington,GB,2020-04-17 07:09:01,53.39,-2.58,51.01,87,40,11.41
48,Aberdeen,GB,2020-04-17 07:09:01,57.14,-2.1,43.0,100,90,2.24
49,Port Alfred,ZA,2020-04-17 07:09:02,-33.59,26.89,68.0,63,4,1.99
50,Carnarvon,AU,2020-04-17 07:09:02,-24.87,113.63,88.21,42,87,10.07
51,Hithadhoo,MV,2020-04-17 07:09:03,-0.6,73.08,83.97,68,86,1.05
52,Kenai,US,2020-04-17 07:09:03,60.55,-151.26,39.0,93,99,5.01
53,Pisco,PE,2020-04-17 07:09:03,-13.7,-76.22,68.0,87,76,5.99
54,Vaini,TO,2020-04-17 07:09:03,-21.2,-175.2,77.0,78,27,15.08
55,Dwarka,IN,2020-04-17 07:09:04,22.24,68.97,81.14,75,27,13.22
56,Ushuaia,AR,2020-04-17 07:09:04,-54.8,-68.3,55.4,54,75,20.8
57,Omsukchan,RU,2020-04-17 07:09:04,62.53,155.8,14.32,88,100,8.63
58,Taoudenni,ML,2020-04-17 07:09:04,22.68,-3.98,87.73,20,98,13.13
59,New Norfolk,AU,2020-04-17 07:09:05,-42.78,147.06,53.6,46,75,19.46
60,Corralillo,CU,2020-04-17 07:06:03,22.98,-80.59,78.46,76,13,4.88
61,Thompson,CA,2020-04-17 07:09:05,55.74,-97.86,17.8,95,76,5.55
62,Kiruna,SE,2020-04-17 07:09:06,67.86,20.23,30.2,74,0,12.75
63,Baie-Saint-Paul,CA,2020-04-17 07:09:06,47.44,-70.5,25.25,91,99,6.31
64,Klaksvik,FO,2020-04-17 07:09:06,62.23,-6.59,41.0,86,55,9.06
65,Busselton,AU,2020-04-17 07:09:07,-33.65,115.33,78.01,26,71,7.65
66,Suntar,RU,2020-04-17 07:09:07,62.14,117.63,23.13,81,94,8.23
67,Khatanga,RU,2020-04-17 07:05:19,71.97,102.5,13.35,91,0,14.7
68,Talnakh,RU,2020-04-17 07:09:07,69.49,88.4,28.4,74,87,24.61
69,Castiglione Del Lago,IT,2020-04-17 07:09:07,43.13,12.05,52.0,75,8,0.45
70,Tuktoyaktuk,CA,2020-04-17 07:09:08,69.45,-133.04,12.83,96,98,5.57
71,Carutapera,BR,2020-04-17 07:09:08,-1.2,-46.02,78.51,82,61,3.91
72,Hirara,JP,2020-04-17 07:09:08,24.8,125.28,78.8,65,40,12.75
